infered_area_id,total_ubertaxi_rides,total_yellowtaxi_rides,infered_area_geometry,market_potential
69,9,24,"POLYGON ((-73.968 40.802458, -73.96804 40.80124199999999, -73.967845 40.801302, -73.9663 40.8039, -73.966053 40.80482199999999, -73.965962 40.805372, -73.965977 40.805463, -73.967 40.806, -73.968 40.802458))",0.7272727272727273
70,11,16,"POLYGON ((-73.965636 40.80599, -73.9654 40.8058, -73.96430600000001 40.806494, -73.9633 40.8088, -73.963427 40.80892100000001, -73.963871 40.808509, -73.965636 40.80599))",0.5925925925925926
71,70,36,"POLYGON ((-73.995244 40.765198, -74.0013 40.7625, -74.001012 40.761884, -74.00020000000001 40.7612, -73.99930000000001 40.7606, -73.9991 40.7605, -73.9966 40.7609, -73.9956 40.7622, -73.995244 40.765198))",0.33962264150943394
72,8,9,"POLYGON ((-73.98735699999999 40.775595, -73.98699999999999 40.7743, -73.98520000000001 40.7769, -73.98569999999999 40.77755, -73.9863 40.7774, -73.98654000000001 40.777282, -73.987126 40.776117, -73.98735699999999 40.775595))",0.5294117647058824
73,7,9,"POLYGON ((-73.971 40.7917, -73.97150000000001 40.7904, -73.9709 40.7893, -73.97039599999999 40.789004, -73.9691 40.7893, -73.971 40.7917))",0.5625
74,28,12,"POLYGON ((-74.015725 40.70499, -74.0159 40.7075, -74.01707500000001 40.70766, -74.017782 40.706482, -74.018 40.7058, -74.01798700000001 40.705667, -74.0179 40.7054, -74.0176 40.7051, -74.01754699999999 40.705065, -74.0158 40.7049, -74.015725 40.70499))",0.3
75,20,12,"POLYGON ((-73.9956 40.7173, -73.99555699999999 40.716735, -73.99550000000001 40.716063, -73.9931 40.7165, -73.9924 40.7172, -73.992 40.7181, -73.99295500000001 40.718212, -73.993639 40.718291, -73.9949 40.7184, -73.99492499999999 40.718374, -73.9956 40.7173))",0.375
76,11,8,"POLYGON ((-73.9768 40.7323, -73.9744 40.7325, -73.974735 40.733017, -73.976 40.7334, -73.97727900000001 40.732839, -73.9774 40.7327, -73.977377 40.73243, -73.9768 40.7323))",0.42105263157894735
77,7,12,"POLYGON ((-74.0012 40.7155, -74.00149999999999 40.716, -74.00176500000001 40.71584, -74.003816 40.713556, -74.00438299999999 40.712912, -74.004052 40.71311, -74.002655 40.71423, -74.0012 40.7155))",0.631578947368421
78,28,11,"POLYGON ((-73.992992 40.715225, -73.9928 40.7131, -73.9903 40.7126, -73.990022 40.712668, -73.9873 40.7143, -73.99213 40.71536500000001, -73.992992 40.715225))",0.28205128205128205
79,13,31,"POLYGON ((-73.968622 40.79159600000001, -73.96635999999999 40.791499, -73.9654 40.7954, -73.96679499999999 40.795986, -73.968622 40.79159600000001))",0.7045454545454546
80,16,16,"POLYGON ((-73.9894 40.7752, -73.990562 40.771852, -73.99046 40.771618, -73.989808 40.771472, -73.988331 40.774576, -73.98869999999999 40.775, -73.9894 40.7752))",0.5
81,23,15,"POLYGON ((-73.9902 40.7761, -73.989772 40.775974, -73.98863 40.776677, -73.9877 40.7796, -73.988 40.7795, -73.988462 40.779307, -73.98899999999998 40.7786, -73.9902 40.7761))",0.39473684210526316
82,20,3,"POLYGON ((-73.990577 40.775502, -73.9915 40.7753, -73.99120000000001 40.7746, -73.9901 40.7747, -73.9901 40.7748, -73.9905 40.7754, -73.990577 40.775502))",0.13043478260869565
83,12,4,"POLYGON ((-73.94759999999999 40.7704, -73.94750000000001 40.7709, -73.9481 40.7722, -73.9482 40.7722, -73.9487 40.7717, -73.94929300000001 40.770938, -73.9485 40.7706, -73.94830400000001 40.770524, -73.94774 40.770415, -73.94759999999999 40.7704))",0.25
84,13,3,"POLYGON ((-74.0038 40.7533, -74.0042 40.753, -74.0029 40.7521, -74.00279999999999 40.7521, -74.00320000000001 40.753, -74.0038 40.7533))",0.1875
85,18,6,"POLYGON ((-73.98180000000001 40.7253, -73.9823 40.7248, -73.982 40.7246, -73.9816 40.7245, -73.9806 40.7248, -73.9808 40.725, -73.98114200000001 40.72512, -73.98180000000001 40.7253))",0.25
86,11,11,"POLYGON ((-73.95229999999999 40.7915, -73.95281 40.791925, -73.9533 40.7915, -73.95475 40.789765, -73.95430400000001 40.789783, -73.95229999999999 40.7915))",0.5
